연도,실제
1992년 09월,17.60%
1992년 08월,19.30%
1992년 07월,16.80%
1992년 06월,14.30%
1992년 05월,15.10%
1992년 04월,16.80%
1992년 03월,18.50%
1992년 02월,10.90%
1992년 01월,5.00%
1991년 12월,7.60%
1991년 11월,11.80%
1991년 10월,12.60%
1991년 09월,11.80%
1991년 08월,10.90%
1991년 07월,9.20%
1991년 06월,10.90%
1991년 05월,10.90%
1991년 04월,10.90%
1991년 03월,9.20%
1991년 02월,23.50%
1991년 01월,12.60%
1990년 12월,12.60%
1990년 11월,10.90%
1990년 10월,6.70%
1990년 09월,4.20%
1990년 08월,2.50%
1990년 07월,5.00%
1990년 06월,3.30%
1990년 05월,1.70%
1990년 04월,0.80%
1990년 03월,5.00%
